4	1	Mode 1
4	2	Mode 10
4	3	Mode 2
4	4	Mode 3
4	5	Mode 4
4	6	Mode 5
4	7	Mode 6
4	8	Mode 7
4	9	Mode 8
4	10	Mode 9
8	1	Extended - Extended
8	2	Extended - RAW
8	3	Extended - RGB
8	4	Standard - Extended
8	5	Standard - RAW
8	6	Standard - RGB
9	1	5 channel
9	2	9 channel
10	1	1 Channel
10	2	3 Ch RGB
10	3	Direct
10	4	Expanded
10	5	Studio
11	1	Mode 1
11	2	Mode 2
13	1	1 channel
13	2	2 channel
13	3	3 channel
13	4	4 channel
14	1	3 channel
14	2	4 channel
14	3	Extended
15	1	Mode 0
